sample_well,replicate,spikein_number,control_template (p/uL),spikein_present,paragon_primers,si_primers,SI Dilution,SI Primer Dilution,peak_size,Concentration (ng/uL),Concentration (nmol/l),Amount to pool (uL),Index_Plate,Index_Well,Run_name,Sample_name
A01,1,1,1000,yes,1A5,yes,1:1,1:10,318,12.5,60.4,20,Dual-060,A04,SPIKE IN TEST IX,A01_1:1SI_1:10PR_042024_SI_IX
A02,1,1,1000,yes,1A5,yes,1:1,1:100,"325, 398","2.31, 0.455","11, 1.76",20,Dual-060,A05,SPIKE IN TEST IX,A02_1:1SI_1:100PR_042024_SI_IX
A03,1,1,1000,yes,1A5,yes,1:1,1:250,"324, 399",".08, .81",".393, 3.12",20,Dual-060,A06,SPIKE IN TEST IX,A03_1:1SI_1:250PR_042024_SI_IX
A04,1,1,1000,yes,1A5,yes,1:1,1:1000,398,1.06,4.09,20,Dual-060,A07,SPIKE IN TEST IX,A04_1:1SI_1:1000PR_042024_SI_IX
A05,1,1,1000,yes,1A5,yes,1:1,1:2000,396,2.18,8.49,20,Dual-060,A08,SPIKE IN TEST IX,A05_1:1SI_1:2000PR_042024_SI_IX
A06,1,1,1000,no,1A5,yes,0,1:10,394,1.67,6.53,20,Dual-060,A09,SPIKE IN TEST IX,A06_0SI_1:10PR_042024_SI_IX
A07,1,1,H2O,yes,1A5,yes,1:1,1:10,319,11.9,57.4,20,Dual-060,A10,SPIKE IN TEST IX,A07_Neg_1:1SI_1:10PR_042024_SI_IX
A08,1,1,1000,no,1A5,no,0,0,390,0.252,0.992,20,Dual-060,A11,SPIKE IN TEST IX,A08_0SI_0PR_042024_SI_IX
B01,1,1,1000,yes,1A5,yes,1:10,1:10,"327, 402","15.2, 2.05","71.3, 7.83",20,Dual-060,B04,SPIKE IN TEST IX,BO1_1:10SI_1:10PR_042024_SI_IX
B02,1,1,1000,yes,1A5,yes,1:10,1:100,"323, 398",".47, 1.82","2.24, 7.04",20,Dual-060,B05,SPIKE IN TEST IX,B02_1:10SI_1:100PR_042024_SI_IX
B03,1,1,1000,yes,1A5,yes,1:10,1:250,399,1.85,7.13,20,Dual-060,B06,SPIKE IN TEST IX,B03_1:10SI_1:250PR_042024_SI_IX
B04,1,1,1000,yes,1A5,yes,1:10,1:1000,398,2.01,7.76,20,Dual-060,B07,SPIKE IN TEST IX,B04_1:10SI_1:1000PR_042024_SI_IX
B05,1,1,1000,yes,1A5,yes,1:10,1:2000,396,1.6,6.21,20,Dual-060,B08,SPIKE IN TEST IX,B05_1:10SI_1:2000PR_042024_SI_IX
B06,1,1,1000,no,1A5,yes,0,1:10,394,3.72,14.5,20,Dual-060,B09,SPIKE IN TEST IX,B06_0SI_1:10PR_042024_SI_IX
B07,1,1,H2O,yes,,yes,1:10,1:10,319,16.4,79.3,20,Dual-060,B10,SPIKE IN TEST IX,B07_Neg_1:10SI_1:10PR_042024_SI_IX
B08,1,1,1000,no,,no,0,0,387,2.31,9.16,20,Dual-060,B11,SPIKE IN TEST IX,B08_0SI_0PR_042024_SI_IX
C01,2,1,1000,yes,1A5,yes,1:1,1:10,,,,20,Dual-060,C04,SPIKE IN TEST IX,C01_1:1SI_1:10PR_042024_SI_IX
