SampleID	Stage	Reads
A01_11SI_110PR_042024_SI_IX_S306_L006	Input	1982590
A01_11SI_110PR_042024_SI_IX_S306_L006	No Dimers	1972712
A01_11SI_110PR_042024_SI_IX_S306_L006	Amplicons	1958404
A01_11SI_110PR_042024_SI_IX_S306_L006	OutputDada2	143
A01_11SI_110PR_042024_SI_IX_S306_L006	OutputPostprocessing	141
A02_11SI_1100PR_042024_SI_IX_S307_L006	Input	439377
A02_11SI_1100PR_042024_SI_IX_S307_L006	No Dimers	426671
A02_11SI_1100PR_042024_SI_IX_S307_L006	Amplicons	423564
A02_11SI_1100PR_042024_SI_IX_S307_L006	OutputDada2	222860
A02_11SI_1100PR_042024_SI_IX_S307_L006	OutputPostprocessing	215314
A03_11SI_1250PR_042024_SI_IX_S308_L006	Input	492053
A03_11SI_1250PR_042024_SI_IX_S308_L006	No Dimers	482089
A03_11SI_1250PR_042024_SI_IX_S308_L006	Amplicons	479272
A03_11SI_1250PR_042024_SI_IX_S308_L006	OutputDada2	418125
A03_11SI_1250PR_042024_SI_IX_S308_L006	OutputPostprocessing	401053
A04_11SI_11000PR_042024_SI_IX_S309_L006	Input	686392
A04_11SI_11000PR_042024_SI_IX_S309_L006	No Dimers	680901
A04_11SI_11000PR_042024_SI_IX_S309_L006	Amplicons	678187
A04_11SI_11000PR_042024_SI_IX_S309_L006	OutputDada2	598587
A04_11SI_11000PR_042024_SI_IX_S309_L006	OutputPostprocessing	569157
A05_11SI_12000PR_042024_SI_IX_S310_L006	Input	1193343
A05_11SI_12000PR_042024_SI_IX_S310_L006	No Dimers	1181370
A05_11SI_12000PR_042024_SI_IX_S310_L006	Amplicons	1176397
A05_11SI_12000PR_042024_SI_IX_S310_L006	OutputDada2	1035285
A05_11SI_12000PR_042024_SI_IX_S310_L006	OutputPostprocessing	991218
A06_0SI_110PR_042024_SI_IX_S311_L006	Input	980145
A06_0SI_110PR_042024_SI_IX_S311_L006	No Dimers	975054
A06_0SI_110PR_042024_SI_IX_S311_L006	Amplicons	971448
A06_0SI_110PR_042024_SI_IX_S311_L006	OutputDada2	860550
A06_0SI_110PR_042024_SI_IX_S311_L006	OutputPostprocessing	824136
A07_Neg_11SI_110PR_042024_SI_IX_S312_L006	Input	2231727
A07_Neg_11SI_110PR_042024_SI_IX_S312_L006	No Dimers	2223103
A07_Neg_11SI_110PR_042024_SI_IX_S312_L006	Amplicons	2205325
A07_Neg_11SI_110PR_042024_SI_IX_S312_L006	OutputDada2	61
A07_Neg_11SI_110PR_042024_SI_IX_S312_L006	OutputPostprocessing	61
A08_0SI_0PR_042024_SI_IX_S313_L006	Input	122379
A08_0SI_0PR_042024_SI_IX_S313_L006	No Dimers	117282
A08_0SI_0PR_042024_SI_IX_S313_L006	Amplicons	116029
A08_0SI_0PR_042024_SI_IX_S313_L006	OutputDada2	97905
A08_0SI_0PR_042024_SI_IX_S313_L006	OutputPostprocessing	95616
B02_110SI_1100PR_042024_SI_IX_S404_L006	Input	1300232
B02_110SI_1100PR_042024_SI_IX_S404_L006	No Dimers	1289945
B02_110SI_1100PR_042024_SI_IX_S404_L006	Amplicons	1284283
B02_110SI_1100PR_042024_SI_IX_S404_L006	OutputDada2	1100008
B02_110SI_1100PR_042024_SI_IX_S404_L006	OutputPostprocessing	1036482
B03_110SI_1250PR_042024_SI_IX_S405_L006	Input	1262467
B03_110SI_1250PR_042024_SI_IX_S405_L006	No Dimers	1255015
B03_110SI_1250PR_042024_SI_IX_S405_L006	Amplicons	1250049
B03_110SI_1250PR_042024_SI_IX_S405_L006	OutputDada2	1089137
B03_110SI_1250PR_042024_SI_IX_S405_L006	OutputPostprocessing	1025898
B04_110SI_11000PR_042024_SI_IX_S406_L006	Input	1458538
B04_110SI_11000PR_042024_SI_IX_S406_L006	No Dimers	1453022
B04_110SI_11000PR_042024_SI_IX_S406_L006	Amplicons	1448341
B04_110SI_11000PR_042024_SI_IX_S406_L006	OutputDada2	1268566
B04_110SI_11000PR_042024_SI_IX_S406_L006	OutputPostprocessing	1192090
B05_110SI_12000PR_042024_SI_IX_S407_L006	Input	947267
B05_110SI_12000PR_042024_SI_IX_S407_L006	No Dimers	934368
B05_110SI_12000PR_042024_SI_IX_S407_L006	Amplicons	930041
B05_110SI_12000PR_042024_SI_IX_S407_L006	OutputDada2	812128
B05_110SI_12000PR_042024_SI_IX_S407_L006	OutputPostprocessing	790939
B06_0SI_110PR_042024_SI_IX_S408_L006	Input	1873750
B06_0SI_110PR_042024_SI_IX_S408_L006	No Dimers	1869696
B06_0SI_110PR_042024_SI_IX_S408_L006	Amplicons	1862813
B06_0SI_110PR_042024_SI_IX_S408_L006	OutputDada2	1611305
B06_0SI_110PR_042024_SI_IX_S408_L006	OutputPostprocessing	1527955
B07_Neg_110SI_110PR_042024_SI_IX_S409_L006	Input	2552500
B07_Neg_110SI_110PR_042024_SI_IX_S409_L006	No Dimers	2544099
B07_Neg_110SI_110PR_042024_SI_IX_S409_L006	Amplicons	2526451
B07_Neg_110SI_110PR_042024_SI_IX_S409_L006	OutputDada2	82
B07_Neg_110SI_110PR_042024_SI_IX_S409_L006	OutputPostprocessing	82
B08_0SI_0PR_042024_SI_IX_S410_L006	Input	1369974
B08_0SI_0PR_042024_SI_IX_S410_L006	No Dimers	1359839
B08_0SI_0PR_042024_SI_IX_S410_L006	Amplicons	1353620
B08_0SI_0PR_042024_SI_IX_S410_L006	OutputDada2	1175941
B08_0SI_0PR_042024_SI_IX_S410_L006	OutputPostprocessing	1119469
BO1_110SI_110PR_042024_SI_IX_S411_L006	Input	2269412
BO1_110SI_110PR_042024_SI_IX_S411_L006	No Dimers	2237611
BO1_110SI_110PR_042024_SI_IX_S411_L006	Amplicons	2222703
BO1_110SI_110PR_042024_SI_IX_S411_L006	OutputDada2	349
BO1_110SI_110PR_042024_SI_IX_S411_L006	OutputPostprocessing	344
C01_11SI_110PR_042024_SI_IX_S412_L006	Input	1755913
