SampleID,SIDilution,SIPrimerDilution,Reads,UnexpectedSeqCount,ProportionPerfectMatch
A01_11SI_110PR_042024_SI_IX,1:1,1:10,1345081,318873,0.808364293724466
A02_11SI_1100PR_042024_SI_IX,1:1,1:100,127274,25470,0.833250405907924
A03_11SI_1250PR_042024_SI_IX,1:1,1:250,4709,1010,0.823395698548697
A04_11SI_11000PR_042024_SI_IX,1:1,1:1000,12,4,0.75
A05_11SI_12000PR_042024_SI_IX,1:1,1:2000,5,1,0.833333333333333
A06_0SI_110PR_042024_SI_IX,0,1:10,164,48,0.773584905660377
A07_Neg_11SI_110PR_042024_SI_IX,1:1,1:10,1438271,405304,0.780153234883311
B02_110SI_1100PR_042024_SI_IX,1:10,1:100,21216,5110,0.805895312618704
B03_110SI_1250PR_042024_SI_IX,1:10,1:250,299,73,0.803763440860215
B04_110SI_11000PR_042024_SI_IX,1:10,1:1000,3,3,0.5
B05_110SI_12000PR_042024_SI_IX,1:10,1:2000,1,0,0
B06_0SI_110PR_042024_SI_IX,0,1:10,123,57,0.683333333333333
B07_Neg_110SI_110PR_042024_SI_IX,1:10,1:10,1585690,507682,0.757481231238404
B08_0SI_0PR_042024_SI_IX,0,0,1,0,0
B01_110SI_110PR_042024_SI_IX,1:10,1:10,1447169,417698,0.776017270936748
C01_11SI_110PR_042024_SI_IX,1:1,1:10,1088304,325199,0.769933986698295
C02_11SI_1100PR_042024_SI_IX,1:1,1:100,124253,30570,0.802548716921904
C03_11SI_1250PR_042024_SI_IX,1:1,1:250,6536,1701,0.793492776496297
C04_11SI_11000PR_042024_SI_IX,1:1,1:1000,7,4,0.636363636363636
C05_11SI_12000PR_042024_SI_IX,1:1,1:2000,8,2,0.8
C06_0SI_110PR_042024_SI_IX,0,1:10,17,5,0.772727272727273
C07_Neg_11SI_110PR_042024_SI_IX,1:1,1:10,1688133,523063,0.763447925918824
C08_0SI_0PR_042024_SI_IX,0,0,1,3,0.25
D01_110SI_110PR_042024_SI_IX,1:10,1:10,1361899,391506,0.776716731160228
D02_110SI_1100PR_042024_SI_IX,1:10,1:100,8053,1932,0.80650976464697
D03_110SI_1250PR_042024_SI_IX,1:10,1:250,487,154,0.759750390015601
D06_0SI_110PR_042024_SI_IX,0,1:10,250,78,0.76219512195122
D07_Neg_110SI_110PR_042024_SI_IX,1:10,1:10,1335999,425816,0.75830833543817
D08_0SI_0PR_042024_SI_IX,0,0,4,2,0.666666666666667
E01_11SI_110PR_042024_SI_IX,1:1,1:10,1674314,491259,0.773150570310952
E02_11SI_1100PR_042024_SI_IX,1:1,1:100,110075,26520,0.805849408836341
E03_11SI_1250PR_042024_SI_IX,1:1,1:250,4276,1081,0.798207952212059
E04_11SI_11000PR_042024_SI_IX,1:1,1:1000,9,2,0.818181818181818
E05_11SI_12000PR_042024_SI_IX,1:1,1:2000,20,5,0.8
E06_0SI_110PR_042024_SI_IX,0,1:10,571,202,0.738680465717982
E07_Neg_11SI_110PR_042024_SI_IX,1:1,1:10,1648510,508071,0.764409034485605
E08_0SI_0PR_042024_SI_IX,0,0,2,0,0
F01_110SI_110PR_042024_SI_IX,1:10,1:10,1662275,494964,0.770556716247018
F02_110SI_1100PR_042024_SI_IX,1:10,1:100,12222,3132,0.796014067995311
F03_110SI_1250PR_042024_SI_IX,1:10,1:250,575,153,0.789835164835165
F04_110SI_11000PR_042024_SI_IX,1:10,1:1000,6,2,0.75
F06_0SI_110PR_042024_SI_IX,0,1:10,140,94,0.598290598290598
F07_Neg_110SI_110PR_042024_SI_IX,1:10,1:10,1638989,545363,0.750331906212918
F08_0SI_0PR_042024_SI_IX,0,0,6,0,0
