"","SampleID","SIDilution","SIPrimerDilution","ControlType","ExactMatchReads","UnexpectedSeqCount","ProportionCorrect"
"1","A05-0-PR-062024-SI-X","0","1:250","Pos",2,0,1
"2","A06-0-0-062024-SI-X","0","0","Pos",6,0,1
"3","A08-0-0-062024-SI-X","0","0","Pos",1,0,1
"4","C05-0-PR-062024-SI-X","0","1:250","Pos",1,0,1
"5","C08-0-0-062024-SI-X","0","0","Pos",2,0,1
"6","B05-0-PR-062024-SI-X","0","1:250","Pos",10,1,0.909090909090909
"7","C01-SI-PR-062024-SI-X","1:1","1:250","Pos",19736,3849,0.836803052787789
"8","B01-SI-PR-062024-SI-X","1:1","1:250","Pos",14245,2783,0.83656330749354
"9","A01-SI-PR-062024-SI-X","1:1","1:250","Pos",8714,1725,0.834754286809081
"10","C06-0-0-062024-SI-X","0","0","Pos",54,11,0.830769230769231
"11","A04-SI-PR-062024-SI-X","1:1","1:250","Pos",31943,6888,0.822615951173032
"12","C04-SI-PR-062024-SI-X","1:1","1:250","Pos",59985,12944,0.822512306489874
"13","B07-SI-PR-062024-SI-X","1:1","1:250","Pos",11281,2533,0.816635297524251
"14","B04-SI-PR-062024-SI-X","1:1","1:250","Pos",33688,7592,0.816085271317829
"15","C07-SI-PR-062024-SI-X","1:1","1:250","Pos",18383,4159,0.815499955638364
"16","A07-SI-PR-062024-SI-X","1:1","1:250","Pos",6087,1414,0.811491801093188
"17","B03-0-0-062024-SI-X","0","0","Pos",4,1,0.8
"18","A03-0-0-062024-SI-X","0","0","Pos",50,25,0.666666666666667
"19","B08-0-0-062024-SI-X","0","0","Pos",2,1,0.666666666666667
"20","B06-0-0-062024-SI-X","0","0","Pos",3,4,0.428571428571429
"21","A02-0-PR-062024-SI-X","0","1:250","Pos",0,0,0
"22","B02-0-PR-062024-SI-X","0","1:250","Pos",0,0,0
"23","C02-0-PR-062024-SI-X","0","1:250","Pos",0,0,0
"24","C03-0-0-062024-SI-X","0","0","Pos",0,0,0
